DEPTH (nm),B,DEPTH (nm),Ge,DEPTH (nm),C,DEPTH (nm),As
,,163.914,0.016796777,,,210.65013,1.72642E+18
,,164.644,0.016044894,,,211.58963,1.84531E+18
,,165.374,0.014238177,,,212.52912,1.83094E+18
,,166.104,0.013226202,,,213.46861,1.8649E+18
,,166.834,0.013516008,,,214.3959,2.03073E+18
,,167.564,0.014325447,,,215.3354,2.01709E+18
,,168.294,0.014052249,,,216.27489,1.96188E+18
,,169.024,0.012712627,,,217.21438,2.23196E+18
,,169.754,0.014293385,,,218.15388,2.33558E+18
,,170.484,0.015068224,,,219.09337,2.31535E+18
,,171.214,0.014248621,,,220.03286,2.43762E+18
,,171.944,0.015848286,,,220.97236,2.44791E+18
,,172.674,0.015369876,,,221.91185,2.46066E+18
,,173.404,0.013260683,,,222.85134,2.56795E+18
,,174.134,0.011894787,,,223.79084,2.58579E+18
,,174.864,0.010038662,,,224.73033,2.54277E+18
,,175.594,0.011183049,,,225.66982,2.5916E+18
,,176.324,0.0147126,,,226.60931,2.53167E+18
,,177.054,0.014960693,,,227.54881,2.77655E+18
,,177.784,0.014149079,,,228.4883,2.99386E+18
,,178.514,0.013617223,,,229.42779,2.95899E+18
,,179.244,0.012972497,,,230.36729,3.22273E+18
,,179.974,0.013699396,,,231.30679,3.01482E+18
,,180.704,0.013247642,,,232.23408,3.28427E+18
,,181.434,0.013311939,,,233.17357,3.05268E+18
,,182.164,0.015709531,,,234.11306,3.2018E+18
,,182.894,0.016218586,,,235.06476,3.39538E+18
,,183.624,0.013513511,,,236.00425,3.16178E+18
,,184.354,0.012122834,,,236.94375,3.35343E+18
,,185.084,0.013962707,,,237.88324,3.34523E+18
,,185.814,0.014506251,,,238.82273,3.6086E+18
,,186.544,0.013136848,,,239.76223,3.43127E+18
,,187.274,0.012332,,,240.68952,3.48392E+18
,,188.004,0.010801831,,,241.62901,3.97147E+18
,,188.734,0.010846652,,,242.5685,3.86513E+18
,,189.464,0.013802171,,,243.508,3.82868E+18
,,190.194,0.015149167,,,244.44749,3.93962E+18
,,190.924,0.013262171,,,245.38698,4.00438E+18
,,191.654,0.011356377,,,246.32648,4.31507E+18
,,192.384,0.015309836,,,247.27817,4.13084E+18
,,193.114,0.019609642,,,248.21766,4.39755E+18
,,193.844,0.015705829,,,249.15716,4.5112E+18
,,194.574,0.009849952,,,250.08445,4.27186E+18
,,195.304,0.008495305,,,251.02394,4.36556E+18
,,196.034,0.01011832,,,251.96344,4.5026E+18
,,196.764,0.011445921,,,252.90293,4.34001E+18
,,197.494,0.011903381,,,253.84242,4.74785E+18
,,198.224,0.013732388,,,254.78192,4.65231E+18
,,198.954,0.014363765,,,255.72141,4.7302E+18
,,199.684,0.01101139,,,256.6609,5.04067E+18
,,200.414,0.008347564,,,257.6004,5.0589E+18
,,201.144,0.009347089,,,258.53989,5.33348E+18
,,201.874,0.010374635,,,259.47938,5.45403E+18
,,202.604,0.010701481,,,260.41887,5.58835E+18
,,203.334,0.01370055,,,261.35837,5.3536E+18
,,204.064,0.016839309,,,262.29786,5.72296E+18
,,204.794,0.016236652,,,263.23735,5.7506E+18
,,205.524,0.011187853,,,264.17685,5.57842E+18
,,206.254,0.008002183,,,265.11634,5.97506E+18
,,206.984,0.011439984,,,266.05583,5.71455E+18
,,207.714,0.014353268,,,266.99533,6.31895E+18
,,208.444,0.013325555,,,267.92262,6.20472E+18
,,209.174,0.011747303,,,268.86211,6.38302E+18
,,209.904,0.01198382,,,269.8016,6.41368E+18
,,210.634,0.014145762,,,270.7533,6.12498E+18
,,211.364,0.014994174,,,271.69279,6.70498E+18
,,212.094,0.013656068,,,272.63229,6.38015E+18
,,212.824,0.013357929,,,273.57178,7.13833E+18
,,213.554,0.013556693,,,274.51127,7.04721E+18
,,214.284,0.012984281,,,275.45077,7.10499E+18
,,215.014,0.013011101,,,276.39026,7.21066E+18
,,215.744,0.013574591,,,277.31755,7.50285E+18
,,216.474,0.0138685,,,278.25704,7.2275E+18
,,217.204,0.012556062,,,279.19654,7.30277E+18
,,217.934,0.013662644,,,280.13603,7.58338E+18
,,218.664,0.016401601,,,281.07553,7.92621E+18
,,219.394,0.014816811,,,282.01502,7.56694E+18
,,220.124,0.012616755,,,282.96671,7.75542E+18
,,220.854,0.012781176,,,283.90621,7.90509E+18
,,221.584,0.014580189,,,284.8457,7.87718E+18
,,222.314,0.014326353,,,285.77299,8.0491E+18
,,223.044,0.011674911,,,286.71249,8.30284E+18
,,223.774,0.010338512,,,287.65198,8.42505E+18
,,224.504,0.01064336,,,288.59147,8.40358E+18
,,225.234,0.013390963,,,289.53097,8.27252E+18
,,225.964,0.015067358,,,290.47046,8.63984E+18
,,226.694,0.01187338,,,291.40995,8.6124E+18
,,227.424,0.00967291,,,292.34945,9.05213E+18
,,228.154,0.009874715,,,293.28894,9.39819E+18
,,228.884,0.010450938,,,294.22843,8.86756E+18
,,229.614,0.013518474,,,295.16793,9.26868E+18
,,230.344,0.014943215,,,296.10742,9.68493E+18
,,231.074,0.012262176,,,297.04691,9.86702E+18
,,231.804,0.011950302,,,297.98641,9.51791E+18
,,232.534,0.016198248,,,298.9259,1.00432E+19
,,233.264,0.018031997,,,299.86539,9.308E+18
,,233.994,0.016140702,,,300.7062196,1.14204E+19
,,234.724,0.013991961,,,305.2255038,1.20646E+19
,,235.454,0.012629623,,,309.744788,1.25178E+19
,,236.184,0.011535946,,,314.2640723,1.31137E+19
,,236.914,0.011227115,,,318.7833565,1.39327E+19
,,237.644,0.012241333,,,323.3026407,1.42042E+19
,,238.374,0.010639178,,,327.8219249,1.48967E+19
,,239.104,0.009384205,,,332.3412092,1.58216E+19
,,239.834,0.013474966,,,336.8604934,1.64865E+19
,,240.564,0.015645594,,,341.3797776,1.70019E+19
,,241.294,0.014076806,,,345.8990618,1.80441E+19
,,242.024,0.014388219,,,350.4183461,1.83985E+19
,,242.754,0.014664138,,,354.9376303,1.94707E+19
,,243.484,0.013285296,,,359.4569145,2.05982E+19
,,244.214,0.011874626,,,363.9761987,2.0872E+19
,,244.944,0.011312039,,,368.495483,2.22895E+19
,,245.674,0.010778265,,,373.0147672,2.29062E+19
,,246.404,0.011278227,,,377.5340514,2.37691E+19
,,247.134,0.01339301,,,382.0533356,2.48737E+19
,,247.864,0.013955957,,,386.5726199,2.5693E+19
